Epoch:296/1000, hm:0.96743, ciou:0.28623, lm:17.24030, total:4.12259
Epoch:297/1000, hm:0.97432, ciou:0.28652, lm:17.31362, total:4.13828
Epoch:298/1000, hm:0.98123, ciou:0.28829, lm:17.28078, total:4.15076
Epoch:299/1000, hm:0.97479, ciou:0.28726, lm:17.36123, total:4.14723
Epoch:300/1000, hm:0.97016, ciou:0.28943, lm:17.25452, total:4.14278
Epoch:300/1000, Easy:0.91614, Medium:0.89828, Hard:0.74282
Epoch:301/1000, hm:1.00577, ciou:0.28681, lm:17.15944, total:4.15575
Epoch:302/1000, hm:0.97734, ciou:0.28826, lm:17.04423, total:4.12307
Epoch:303/1000, hm:0.97460, ciou:0.28876, lm:17.28608, total:4.14700
Epoch:304/1000, hm:0.97222, ciou:0.28611, lm:17.21872, total:4.12463
Epoch:305/1000, hm:0.95032, ciou:0.28748, lm:17.13659, total:4.10140
Epoch:306/1000, hm:0.96796, ciou:0.28544, lm:17.19892, total:4.11506
Epoch:307/1000, hm:0.96979, ciou:0.28654, lm:17.14238, total:4.11672
Epoch:308/1000, hm:0.97548, ciou:0.28828, lm:17.17443, total:4.13433
Epoch:309/1000, hm:0.96564, ciou:0.28589, lm:17.17990, total:4.11306
Epoch:310/1000, hm:0.96198, ciou:0.28733, lm:17.28959, total:4.12761
